Title of signal;Translated Title;Factor;Link;Source Date;Insights;Context;Implication;Organisations;Countries;Tags
Désherbage électrique: une efficacité variable;Electric weeding: variable efficiency;Competitors and Suppliers;https://www.entraid.com/articles/desherbage-electrique-une-efficacite-variable-zasso-xpower-cnh-arvalis;2020-05-11;In 2018 and 2019 Arvalis (https://www.arvalis-infos.fr/), a French research institute for agricultural plants, conducted tests with Zasso’s, https://zasso.com/, electrical weed treatment, which is offered as Xpower by CNH’s AgXtend brand. Arvalis' trials focused on different plants planted in two periods, autumn and spring, on both dry and wet soil. Each time, the institute had made passes in 3 different speeds (2, 4 and 7 km/h) with Xpower and compared the results to the application of glyphosate. After the test results Arvalis states that although the electrical weeding is an alternative to glyphosate, it is imperfect since the effects change according to the conditions such as the plant type and soil moisture. Arvalis is now continuing the trials with a new version of the device.;;;Arvalis - Institut du végétal,AgXtend (CNHI),Zasso GmbH;France;User Insights,Precision Technology
Global Technology Giants Invest $11M Into Australian AgTech, The Yield;;Competitors and Suppliers;https://www.theyield.com/post/ymvsv-investment;2020-05-12;An Australian agricultural technology company, The Yield Technology Solutions, has received an investment of AUD 11 mn (EUR 6.59 mn) led by Yamaha Motor Ventures & Laboratory Silicon Valley, the investment arm of Yamaha Motor. Bosch Group, a major shareholder in The Yield, converted its existing loan into equity in the company. The Yield’s Sensing+ combines sensors and analytics to provide information and predictions in apps that help large growers make decisions like when to irrigate, feed, plant, protect and harvest.;;;The Yield Technology Solutions,Yamaha Motor Ventures & Laboratory Silicon Valley,Bosch Australia,Yamaha Motor Co. Ltd.;Australia;Corporate Finance,Alliances,Precision Technology
Pessl Instruments connects FieldClimate to Microsoft Azure FarmBeats to enable Seamless Data Exchange for the Agricultural World;;Competitors and Suppliers;http://metos.at/de/pessl-instruments-connects-fieldclimate-to-microsoft-azure-farmbeats/;2020-05-15;Pessl Instruments announced the availability of an integration with Microsoft Azure FarmBeats into Pessl Instruments’ IoT and DSS platform FieldClimate. The selected Metos devices of Pessl now sync as data flows into the FieldClimate servers with the aim to help farmer decide when to irrigate, when to spray, what disease preventive measure to take, whether to go to the field and work on it, etc. According to Pessl data analysis will help with lowering expenses, increasing yield and income and saving the environment at the same time. With the new integration, Pessl’s FieldClimate can now leverage the soil moisture maps of FarmBeats.;;;Pessl Instruments,Microsoft Corporation;Austria;Alliances,Precision Technology
John Deere enhances integrated AutoTrac guidance for 5R, 6M Tractors;;Competitors and Suppliers;https://www.deere.com/en/our-company/news-and-announcements/news-releases/2020/agriculture/2020jun08-enhanced-integrated-autotrac-guidance/;2020-05-17;"In the USA John Deere (JD) announced the enhancement of the integrated technology of its new 5R and 6M utility tractors to give customers a cost-effective way to view AutoTrac auto-guidance information without having to purchase a separate display. 5R or 6M tractors can now be ordered with an AutoTrac screen built into the tractor’s corner-post display. Once a StarFire Receiver is added, an AutoTrac activation is completed, and the setup process is finished, operators can start using auto-steering solution. New updates for the 5R tractors also include an optional 16/16 CommandQuad automatic transmission that automatically selects the gear and engine speed for optimal fuel efficiency. Category II hook-style draft links and center link are another new option that provides convenient implement hookup without the need for a quick hitch. The bigger 540/65R38 or 600/65R34 size tires, which have the same tire pressure as smaller tires, are also new options for 5R tractors. A new Infinitely Variable Transmission (IVT) can now be ordered for select 6M Tractors. IVT includes AutoClutch that operators can use to quickly brake and stop the tractor without using the clutch. Customers who want to boost hydraulic flow on select 6M Tractors now have also an option to choose a hydraulic pump that’s larger than the standard pump. New 5R Tractors can be ordered immediately while new 6M Tractors will be available to order later in May 2020. (SONEAN: in the USA JD introduced a new favourable financing program for its compact construction machines called ""Own it"". See the context for details. In Europe furthermore JD had recently started to exchange the old iTC StarFire with the new SF6000 receiver as well as offering SF3 signal service and fourth generation 4240 and 4640 displays at ""low prices"", without providing price information. According to a latest campaign communicated by a JD dealer in the UK, Ripon Farm Services, customers can save on the SF6000 EUR 500 while the SF3 activation with 1-year subscription brings an additional EUR 300 of savings. Discounts for the 4240 and 4640 displays bring additional savings of EUR 350 and EUR 500, respectively, https://bit.ly/3dZcUc7)";;JD also introduced in the USA a low monthly payment program, called “Own It” (www.JohnDeere.com/OwnIt), for a selection of its compact excavators, skid steers and compact track loader models: 17G and 30G excavators, 312GR and 316GR skid steers and 317G compact track loader. These machines are eligible to receive special financing options. The starting prices for 17G and 30G compact excavators are USD 435 and USD 625 per month, respectively. The price for the 30G increases to USD 705 monthly with a cab. The small-frame loader canopy configuration of the 312GR skid steer starts with USD 485 per month while the same machine with cab option can be acquired from USD 540 monthly. The 316GR skid steer loader begins at USD 521 per month while its cab version starts at USD 599 per month. Customers can also purchase the 316GR Skid Steer loader and cab with EH controls starting at USD 659 per month. 317G Compact Track Loader starts at USD 759 per month without a cab and USD 826 per month with the cab option. This offer is valid until October 2020 (https://bit.ly/2ZbWxVc).;John Deere (Deere & Co.),Ripon Farm Services,RFS (Ripon) Ltd;United Kingdom,United States;Product Launches,Precision Technology,Product Upgrades,Tractors,>100 HP,Campaigns,Financing,Other self propelled machinery,Discounts,Telematics
Case IH mantém cronograma de lançamentos;Case IH maintains launch schedule;Competitors and Suppliers;https://www.autoindustria.com.br/2020/05/18/case-ih-mantem-cronograma-de-lancamentos/;2020-05-18;Despite the difficulties caused by the Coronavirus crisis, Case IH decided to keep its launch schedule in Brasil and announced the sales start of a new planter range called Fast Riser 6100 and a new Patriot 350 sprayer. The Fast Riser 6100 is available in versions from 48 to 61 lines and offers a uniform planting from the first to the last line with a patented wing weight distribution system, which ensures that all planter lines have the same contact weight with the soil. The new machine is said to guarantee harvest quality even in the shortest windows while covering more hectares daily. According to Case IH the Fast Riser planters will revolutionise the large-scale planting with an end-to-end precision due to the new hydraulic automatic weight distribution system, which results in a total uniformity of seed depth and the emergence of 98% of the plants in just 3 days. In addition, it takes only a minute to change the position of the planter from transport to planting and vice versa. The new Patriot 350 sprayer comes with a 1.73 m free span, which allows a range of boom height from 0.55 to 2.5 meters. The sprayer can be equipped with 3 boom sizes: 27 m (54 nozzles), 30 m (60 nozzles) and 36 m (72 nozzles). The spacing of 50.8 cm between nozzles provides greater adaptation to field conditions, greater operational capacity with fewer passes, less fuel consumption and greater sprayed area. (SONEAN: There are two models of the Fast Riser 6100: 6148 and 6161, and both models are equipped with Precision Planting's Vset2 feeder technology, which offers a control of every centimetre sown seed by seed. The design should also reduce wear while facilitating easy maintenance, https://bit.ly/2WHxUye. See the context for technical details of these new products as well as a new RTK subscription campaign Case IH introduced in France as well as an ongoing running hay & forage equipment promotion in the USA);;"Both models have 5 chassis sections. The 6148 can have 48 lines each 45 cm wide or 45 lines with 50 cm width, with a working width of 22.50 m. The 6161 can have 61 lines with 45 cm or 55 lines with 50 cm width while the working width of the model is 27.50 m. The required power for the 6148 is 380 hp while the 6161 requires 488 hp. The Patriot 350 sprayer furthermore is equipped with a 250 hp 6-cylinder FPT engine generating 250 hp and has a tank of 3,500 litres. The fuel consumption of the model should be the lowest on the Brazilian market. Like other Patriot sprayers the model is equipped with autopilot and automatic section cutting, PWM rate control and an AFS technology package (https://bit.ly/2LFpFfF). In France Case IH introduced the AFS RTK+ service that comes with a mobile app, allowing machines to be monitored in real time. A three-year subscription is priced between EUR 650 and EUR 1,050 depending on the number of receivers. The annual cost varies between EUR 216 and EUR 350. AFS RTK+ is based on a signal transmission by GSM coupled to Case IH’s network of RTK devices, of which there are 170 in France (https://bit.ly/2zLMNGF).
In the USA Case IH has a large promotion in which its hay and forage implements can be financed with 0% interest when acquiring a new Farmall tractor model. In addition, U.S. customers don’t need to make any down payment while the first instalment becomes payable only in 2021 (https://bit.ly/3gkvFsp).";Case IH (CNHI),Precision Planting LLC;Brazil,France,United States;Product Launches,Sprayers,Implements,Precision Technology,Campaigns,Financing
Désherbage localisé: pas seulement sur betteraves;Localized weed control: not only on beets;Universities and Multipliers;https://www.entraid.com/articles/desherbage-localise-pas-seulement-sur-betteraves-colza-tournesol-terres-inovia;2020-05-18;The Plevop project, led by Terres Inovia (https://www.terresinovia.fr/), a French technical institute for professionals in the vegetable oils, protein and hemp sectors, aims to validate the value of localised chemical weeding combined with hoeing on rapeseed and sunflower. The study will end in mid-2020, and after three years of testing first results of the project have already been made available. In terms of the quality of work, the localized spraying supplemented by hoeing is as effective as full spraying while allowing savings of 56% in herbicides. The second stage of the tests will focus on calculating the quantity of water and herbicides along with the exact height and type of nozzle necessary for localised treatment so that it can be done in a single pass.;;;Terres Inovia;France;Precision Technology,Sprayers,Implements
“??? ??? ?????”…????, ???? ?? ?? ??;"“Purchasing agricultural machinery online"" - Daedong Industrial accelerates preparation for entering open market";Competitors and Suppliers;https://www.etoday.co.kr/news/view/1896253;2020-05-19;After a new President of its Strategy Office has been appointed in January 2020, Daedong Industrial, the largest South Korean agricultural machinery manufacturer known with its international brand Kioti, has been speeding up its preparations for opening new online channels at Coupang (https://www.coupang.com/) and Auction (http://www.auction.co.kr/) in the wake of the spread of the new Coronavirus disease. Daedong is considering entering into open markets as early as the second half of 2020. Daedong’s previous attempts to offer its products on an online mall of a large discount store in Korea had recently failed. It will start selling agricultural machinery parts and expand the product line based on the demand from the market. The new president is also spurring autonomous driving of agricultural machinery. The company established a four-year plan for the commercialisation of self-driving machines by 2024. Daedong already introduced the first self-driving rice transplanter in March 2019 and will also launch an autonomous tractor early 2021. To commercialize its agricultural machinery for autonomous driving, Daedong Industrial signed an MOU with Seoul National University for joint research related to precision agriculture such as autonomous driving, and in March signed an MOU for agricultural robot research with the Korea Institute of Robotics & Technology Convergence.;;;Daedong Industrial,Seoul National University,Korea Institute of Robotics & Technology Convergence;South Korea;Digitalization,Strategy,Alliances,Parts,Precision Technology,Tractors,Other self propelled machinery
Um líder nunca se acomoda: conheça o novo Hércules 6.0;A leader never settles: meet the new Hercules 6.0;Competitors and Suppliers;https://stara.com.br/2020/05/19/um-lider-nunca-se-acomoda-conheca-o-novo-hercules-6-0/;2020-05-19;Brazilian manufacturer Stara launches the new self-propelled spreader Hercules 6.0 with a tank capacity of 6,000 kg. It comes with Stara’s exclusive system called Syncro with which up to four Hercules 6.0 spreaders can work in sync, in the same field via radio communication. The system is also available as a retrofit solution on machines with an electronic motor. The new Hercules 6.0 is also equipped with TD3 Autopilot, and Conecta, an after-sales telematics service with no extra cost. (SONEAN. Stara actually also has a tractor in its portfolio called the St Max 180, https://stara.com.br/en/produto/21152/);;;Stara;Brazil;Product Launches,Implements,Telematics,Precision Technology
3 miljoen voor asperge-oogstrobot van Cerescon;3 million for Cerescon's asparagus harvesting robot;Competitors and Suppliers;https://www.cerescon.com/data/pers/pers-bericht-nl-mei_2020.pdf;2020-05-19;After intensive tests of its 1-row self-propelled harvesting robot in the Netherlands and Germany, Cerescon, the Dutch company behind the selective asparagus harvesting robot Sparter, raised EUR 3 mn additional funding, which the company will use to jump-start the sale and production of its robot. Cerescon aims to sell up to 150 machines annually by working together with a number of large industrial partners, which will be responsible for the manufacturing. Cerescon will also take over the sale and marketing of Sparter with some renowned marketing partners. The interest in Sparter is said to have doubled since the start of the current Coronavirus crisis since finding suitable and sufficient staff to harvest asparagus has always been a big challenge for growers. The 1-row Sparter replaces approximately 25 hand plugs. The self-driving concept makes the tractor and operator unnecessary. Due to its compact dimensions, it is possible to harvest on smaller fields with standard headlands and the machine can easily be transported by road with a trailer. Sparter is operated by one person only.;;;Cerescon B.V.;Netherlands;Corporate Finance,Product Launches,Precision Technology
Diese clevere Erfindung hält Anbaugeräte in der Spur;This clever invention keeps the implements on track;Intermediaries and customers;https://www.agrarheute.com/technik/ackerbautechnik/diese-clevere-erfindung-haelt-anbaugeraete-spur-568658;2020-05-19;Rotink (https://www.rotink.nl/), a Dutch dealer of New Holland, has developed a movable 3-point hitch with a simple sliding frame. The clever and simple triangular coupler keeps seed drills and hoes very precisely on track. The frame moves the implement with a GPS signal and automatic steering on the tractor as well as with camera control or manually operated. To do this, a hydraulic cylinder moves the entire coupling frame on a shaft. The system corrects the implement while the tractor is steering automatically. For example, the 3-point sliding frame enables straight and parallel rows to be achieved during sowing. The work is carried out with an accuracy of up to +/- 1 cm.;;;Rotink Mechanisatie;Netherlands;Product Launches,Parts,Implements,Tractors,Precision Technology
Hoe, hoe, hoe and away weeds go!;;Universities and Multipliers;https://www.graincentral.com/cropping/hoe-hoe-hoe-and-away-weeds-go/;2020-05-20;The world’s first site-specific mechanical weeder for large-scale grain production systems is a new tool that couples the age-old chipping hoe approach with modern optical weed detection technology and mechanisation to create a non-herbicide tactic to tackle herbicide resistant weeds of any size. Developed by a multi-university Australian research team (including the University of Western Australia, and the University of Sydney), the “Weed Chipper” has been subject to field trials since 2017, resulting in essentially 100% control of all species, at all growth stages, at all 3 locations in Australia. A new commercial partner, Grains Research & Development Corporation (GRDC, https://grdc.com.au/), paved the way to the commercialisation of the new equipment that disturbs only a small percentage of surface area during weed control, making it a practical option for no-till farmers. The commercialisation will likely see the release of a 12 m version of the equipment.;;;Grains Research & Development Corporation (GRDC),University of Western Australia,University of Sydney;Australia;Product Launches,Implements,Corporate Finance,Precision Technology
Le cerveau de l'intelligence artificielle qui va révolutionner l'agriculture ?;The brain of artificial intelligence that will revolutionize agriculture?;Universities and Multipliers;https://www.terre-net.fr/materiel-agricole/tracteur-quad/article/alibaba-cloud-le-cerveau-de-l-intelligence-artificielle-pour-aider-la-revolution-agricole-207-169097.html;2020-05-22;Chinese online giant Alibaba Cloud puts “Agriculture Brain”, a cloud computing infrastructure boosted by AI and remote sensing technologies, at the service of Chinse agriculture to optimise the profitability of farms whose productivity should increase along with the quality of food. The cloud platform include solutions combining image and voice recognition with climate forecast models and satellite data. Agriculture Brain relies on remote sensing technologies such as satellites to monitor crop growth. AI then analyses satellite images of crops to help farmers assess their maturity and establish the harvest calendar.;;;Alibaba Group;China;Precision Technology,Market Entry,Digitalization
PURDUE AG-CELERATOR INVESTS $100,000 IN PLANT, LEAF SCANNING TECHNOLOGY STARTUP;;Competitors and Suppliers;https://www.agrimarketing.com/s/130609;2020-05-26;Purdue Ag-Celerator will invest USD 100,000 in an agriculture technology startup called Leaf Spec Ag Technologies, which took first place in the virtual Spring 2020 Demo Day. The startup has developed a digital lab solution, originally in the lab of the Agricultural and Biological Engineering department of Purdue University, for growers to identify in real time the nutrient and chemical compositions of plants, https://bit.ly/2THwdyL. Leaf Spec is part of Vancoe Ag Technologies, which is run by an industry veteran who is a graduate of Purdue university, https://vancoe.com/.;;;Purdue University,Vancoe Ag Technologies;United States;Corporate Finance,Precision Technology,Product Launches
Treffpunkt Precision Farming: Webinare für Einsteiger, Fortgeschrittene und Profis;Meeting point precision farming: Webinars for beginners, advanced and professionals;Competitors and Suppliers;https://www.eilbote-online.com/artikel/trimble-agriculture-und-vantage-deutschland-treffpunkt-precision-farming-37198/;2020-05-26;"Trimble Agriculture and Vantage Germany will start on 3 June 2020 a first series of three free webinars, which are designed to convey know-how on the optimal use of products with GPS technology. Each of the webinars will last one hour and are aimed at participants with different previous knowledge backgrounds in the field of precision agriculture. The first webinar ""Smart Farming for Beginners teaches the basics for beginners who have so far had little contact with GPS technology and steering systems. The participants get an overview of the possibilities to upgrade their existing machines in a modular fashion. The further focus will be on optimal application, cost control and savings.";;;Trimble Inc,Vantage Agrometius;Germany;Precision Technology,Digitalization,Campaigns
Mit KI in der Landwirtschaft Wasser sparen;Save water in agriculture with AI;Competitors and Suppliers;https://www.kit.edu/kit/pi_2020_039_mit-ki-in-der-landwirtschaft-wasser-sparen.php;2020-05-26;As climate changes, drought is becoming an increasingly important problem also in Germany. A start-up called heliopas.ai from Karlsruhe Institute of (KIT) aims to help German farmers with the smartphone app, Waterfox, to irrigate their fields more efficiently with less water. To use the heliopas.ai service, farmers do not have to install any sensors or other devices on their fields. The new technology is based on the analysis of up-to-date satellite images, amounts of precipitation and other data, which are analysed by a system to identify relevant parameters such as soil moisture and disease. Waterfox is easy to use. A user can create fields on a map in the app and is immediately ready to go. Customers can currently test the product free-of-charge for one month after which use is charged to the nearest hectare, making the service also attractive for small businesses. In the future, there will also be recommendations for precise fertilisation and spraying.;;;Karlsruher Institut für Technologie,heliopas.ai;Germany;Precision Technology,Product Launches
Hands Free Farm completes first drilling operation;;Universities and Multipliers;https://www.farminguk.com/news/hands-free-farm-completes-first-drilling-operation_55728.html;2020-05-26;The team of Hands Free Hectare (https://www.handsfreehectare.com/) and of the Hands Free Farm (HFF) (https://www.handsfree.farm/) has successfully drilled a cover crop autonomously as the first major operation for the novel project. HFF is a three-year long project which scales up to 35 hectares and is run by Harper Adams University, Precision Decisions, Farmscan AG and Agri-EPI Centre. By the end of the project, the team hopes to have a fleet of autonomous small vehicles working in swarms which can be operated from the farm office, ready for commercialisation.;;;Harper Adams University,Precision Decisions,Farmscan AG,Agri-Epi Centre;United Kingdom;Precision Technology,Implements
Startschuss für Robotik-Projekt im Obst- und Weinbau;Start of a robotics project in fruit and wine growing;Universities and Multipliers;https://www.topagrar.com/technik/news/startschuss-fuer-robotik-projekt-im-obst-und-weinbau-12073250.html;2020-05-26;The State Office for the Environment, Agriculture and Geology of the German state of Saxony and the Technical University of Dresden have signed a research contract to develop ELWOBOT, an autonomous fruit and wine growing robot with modular energy supply and electric drive. The robot is to be developed over the next four years in such a way that it can receive instructions in real time and execute them in accordance with the respective environmental conditions. The machine, sensor and location data obtained in this way are to be merged and evaluated by a specially programmed farm management system with weather, soil and operating data, reports the Saxon Ministry of Agriculture. The State of Saxony bears the costs of the project whose total budget is around EUR 1.8 mn.;;;Government of German state of Saxony,Technische Universität Dresden;Germany;Precision Technology,Alliances
FLIR Releases First European Thermal Imaging Dataset for Automotive Driver Assistance Development;;Competitors and Suppliers;https://www.flir.com/news-center/camera-cores--components/flir-releases-first-european-thermal-imaging-dataset-for-automotive-driver-assistance-development/;2020-05-28;FLIR Systems announced the availability of its first European thermal imaging regional dataset designed to help researchers, developers and auto manufacturers enhance and accelerate work on safety, advanced driver assistance-systems (ADAS), automatic emergency braking (AEB) and autonomous vehicle (AV) systems. FLIR develops an end-to-end approach to thermal in ADAS, AEB and AV systems. More than 700,000 FLIR thermal sensors are already installed in driver warning systems. FLIR’s testing has shown that thermal cameras can significantly improve the performance at night over current AEB systems that use radar and visible cameras.;;;FLIR Systems;United States;Precision Technology,Digitalization
Rusagro, Cognitive Pilot Launch Ag Equipment Autonomy Project in Russia;;Intermediaries and customers;https://www.farm-equipment.com/articles/18376-rusagro-cognitive-pilot-launch-ag-equipment-autonomy-project-in-russia;2020-05-28;"Rusagro, https://www.rusagrogroup.ru/en/, Russia's largest agricultural holding company, and Cognitive Pilot, a joint venture between Sberbank and Cognitive Technologies, are introducing the Cognitive Agro Pilot, an autonomous driving system for agricultural machinery. The contract between the two companies states that the kit will be installed gradually on 242 combines of Rusagro in various regions during the harvesting campaigns of 2020-21, beginning in mid-June 2020. The autonomous system will control a combine’s unmanned movement, automatically identifying obstacles along the route and informing combine operators about obstacles or route failures. Operators will have access to trajectory tracking in real time. The project is said to represent the world’s largest project seeking one-time robotisation of farm equipment in four climate zones at once within one agricultural holding company. The partnership between Rusagro and Cognitive Pilot is carried out within the federal project “Digital Technologies” implemented by the Skolkovo Foundation. Rusagro is equipping its combine fleet with autonomous AI-based devices that is said to increase the efficiency of harvesting significantly, bringing the productivity to a new level with quality breakthrough. The Cognitive Agro Pilot system has already been successfully installed and tested in the USA, Brazil and China, as well as in several Russian regions. 
(SONEAN: Cognitive Pilot’s contract signed with Rusagro is worth RUB 130 mn, EUR 1.66 mn. Half of the project funding will come from the Skolkovo Foundation, which provided Rusagro a grant under a federal project. According to Cognitive Technologies, the system will allow to reduce the cost of grain by 3-5% and also lower losses during the harvesting process by up to two times, https://bit.ly/36wy4vr. Cognitive Agro Pilot is said to be an AI-based autonomous driving system that lets machinery operators focus on the quality of harvesting while leaving the robot assistant to run the machinery itself. Besides combines the system can be used also in tractors and sprayers and analyses images from just one video camera by using a convolutional neural network designed for agronomic purposes. See the context for more details of the new autonomous system, and what sets its apart from the ones generally used)";;The system understands the types and positions of objects facing the machinery, builds the correct trajectory of the combine and sends commands to perform manoeuvres. This sets Cognitive Agro Pilot apart from other solutions, which generally use a whole set of sensors in their models such as laser scanners and stereo cameras. Cognitive Agro Pilot ensures safe operations in harsh weather conditions such as those prevailing in Russia and works with any light intensity. The solution operates on territories with a weak satellite signal, which is often the case in Russia. The kit to be installed on combines in the Rusagro project includes an onboard computing unit, a video camera, a display, a set of connecting cables, and other elements of the control system.;Cognitive Pilot,Savings Bank of Russian Federation (Sberbank),Rusagro Group,Skolkovo Foundation;Brazil,China,Russia,United States;Alliances,Precision Technology,Product Launches,Harvesters,Grants,Subsidies
Inovovaný autonomní robot Robotti zasel v ?esku desítky hektar? a další budou p?ibývat;The innovative autonomous robot Robotti has sown tens of hectares in the Czech Republic and more will be added;Intermediaries and customers;https://www.agroportal24h.cz/clanky/inovovany-autonomni-robot-robotti-zasel-v-cesku-desitky-hektaru-a-dalsi-budou-pribyvat;2020-05-28;In its second year in trials in the Czech Republic, the new version of the Robotti robot of Danish manufacturer Agrointelli was deployed for sowing corn. The robot with two 75 hp Kubota engines is used as part of new field tests. Agrointelli’s Czech importer Leading Farmers CZ (https://www.leadingfarmers.cz/) sells and services precision navigation systems for agriculture. The importer has agreements with five farms that will test the robots. Besides sowing hoeing and mowing operations will be done with the robots. In the future spraying will be added to the operations in the Czech Republic. The working speed during the sowing with a Monosem NC seed drill was 5 km/h. The Czech importer is already negotiating with the manufacturer to allow higher speeds, aiming for 8 km/h. The robot can now work without refueling for up to twelve hours. Its basic functions are now controlled on the touch screen on one of the sides of the motor cover. It is possible to log in to the robot using a tablet or mobile phone. Agrointelli’s robots will be able to exchange various data while working simultaneously on the same field. AgroIntelli is currently developing a system for creating weed maps in row crops.;;;Agrointelli,Leading Farmers CZ;Czech Republic;Precision Technology,Alliances,User Insights,Product Upgrades
Financement à 0%* Offre exceptionnelle valable uniquement jusqu’au 20 juillet 2020;0% financing * Exceptional offer valid only until July 20, 2020;Competitors and Suppliers;https://www.kuhn.fr/actualites/financement-0;2020-06-02;Kuhn has a new financing promotion in its home market (France) for its ploughing, tillage, sowing and spraying ranges, which can be now acquired with 0% interest for a period of 5 years until 20 July 2020. Kuhn has also a 15% discount on precision technology to be used on sprayers that are ordered until 31 May 2021.;;;Kuhn (Bucher);France;Campaigns,Financing,Implements,Sprayers,Discounts,Precision Technology
Farmers Edge Announces New Automated Hail Detection and Reporting Technology for Growers and Insurance Professionals;;Competitors and Suppliers;https://www.farmersedge.ca/farmers-edge-announces-new-automated-hail-detection-and-reporting-technology-for-growers-and-insurance-professionals/;2020-06-02;Farmers Edge announced a new severe weather detection, notification, and reporting tool that is now available through its FarmCommand digital platform. The new tool merges field-centric weather data, machine learning, Daily Satellite Imagery, and crop health change detection into one management tool to be used in the crop insurance industry. Insurance professionals can view active hailstorms, follow storm paths and monitor when storms touch down on fields for which their growers have existing policies. Following the hail event, instead of piecing together details from various sources, automatic notifications are generated to alert growers, agents, and adjusters to critical information including fields affected, location, crop stage, and extent of the damage. A Crop Health Change Map provides an additional layer of field-level analytics to support assessment and claims management activities.;;;Farmers Edge;United States;Product Launches,Digitalization,Precision Technology
Robots armed with UV light fight grape mildew;;Competitors and Suppliers;https://news.cornell.edu/stories/2020/06/robots-armed-uv-light-fight-grape-mildew;2020-06-03;A robot fitted with ultraviolet light lamps, called Thorvald, roams currently vineyards to kill powdery mildew, a devastating pathogen for many crops, including grapes. An international research team has partnered with SAGA Robotics in Norway to develop the first commercial robot, which will appear on the market in 2020. The UV-light technique is a breakthrough against powdery and downy mildew. UV light damages DNA of those organisms without harming the plant. The robots are vehicles fitted with 8-by-4-foot arrays roaming autonomously in the night. The multi-institutional research group includes teams from Cornell AgriTech, University of Florida, Rensselaer Polytechnic Institute, and Norway’s Institute of Bioeconomy while the research is supported by lighting companies OSRAM and the Asahi Glass Co.;;;Saga Robotics,Cornell University,University of Florida,Rensselaer Polytechnic Institute,Norwegian Institute of Bioeconomy (Nibio),OSRAM LICHT AG,Asahi Glass Co. Ltd;Norway,United States;Alliances,Precision Technology,Product Launches
Pessl Instruments startet seinen METOS Webshop – shop.metos.at!;Pessl Instruments Just Launched Its METOS Webshop – shop.metos.at!;Competitors and Suppliers;http://metos.at/pessl-instruments-just-launched-its-metos-webshop-shop-metos-at/;2020-06-03;Pessl Instruments, the Austrian manufacturer of high-end weather stations, launched its METOS online shop on 3 June 2020. The new Webshop will initially only offer licenses for products such as iMETOS VWS - Virtual Weather Station, disease models, weather forecasts, and support services. There will also be free trial offers for those who want to learn about the new data-driven precision farming issues. The Webshop is initially only available for European end customers and worldwide Pessl Instruments dealers.;;;Pessl Instruments;Austria;Digitalization,Precision Technology
EU-Projekt „ATLAS“ soll Datenaustausch standardisieren;"EU project ""ATLAS"" aims to standardise data exchange";Universities and Multipliers;https://bauernzeitung.at/eu-projekt-atlas-soll-datenaustausch-standardisieren/;2020-06-03;Digital advances in the agricultural sector mean that farmers are getting more and more new devices, components and services such as sensors, actuators, weather information, drones and satellite images that all provide a lot of data. To advance the digitisation of agriculture, a common, data-driven integration platform is needed that merges data sets and adapts them to the needs of the sector and brings new services. For this purpose, an open, decentralised and expandable data platform is now being developed as part of the EU project ATLAS (www.atlas-h2020.eu, Agricultural Interoperability and Analysis System). The 36-month project brings together 30 stakeholders from agriculture and research institutions from seven European countries. Fraunhofer Institute for Intelligent Analysis and Information Systems (IAIS) coordinates the project.;;;European Union (EU),Fraunhofer Institute for Intelligent Analysis and Information Systems (IAIS);Germany;Precision Technology,Digitalization,Alliances,Subsidies,Grants
